nb_lines,nb_rows,n_neighbors,min_dist,n_components,moyenne reel,moyenne UMAP,std reel,std UMAP,deformation,cpu_time,p-value uniformité global,p-value normalité global,std ratio global,mean ratio global,p-value uni big,p-value norm big,mean ratio big,std ratio big,p-value uni small,p-value norm small,mean ratio small,std ratio small,jaccard similarity
100,15,15,0.1,2,19.95258152,13.14976048,10.45312179,9.500499656,1501.927828,2.125,0,0,4.233842088,3.514370948,5.59E-022,1.01E-038,0.32964007,1.476021327,0,0,5.237598374,5.552720568,49.01965694
100,15,15,0.5,2,19.95258152,9.621860123,10.45312179,5.998587837,1721.330586,2.15625,0,0,2.220980747,2.904592643,1.91E-050,0.000000000000171,0.3911535496,2.234665222,0,0,2.968990462,3.574520064,49.11198742
100,15,15,0.99,2,19.95258152,12.94158947,10.45312179,9.808418887,1220.510722,2,0,0,1.523153482,2.273998252,0,0,0.5819345416,1.456255931,0,0,1.721609782,3.091740574,50.53085807
100,15,15,0.1,1,19.95258152,17.39446846,10.45312179,14.52815006,1531.085129,2.421875,0,0,118.2105371,7.794428405,1.72E-292,0,0.4565413994,1.067467265,0,0,166.9034143,14.52138955,43.87280462
100,15,15,0.1,2,19.95258152,11.53660108,10.45312179,8.204304776,1671.376378,2.140625,0,0,4.395574042,3.6433367,1.66E-020,2.06E-036,0.320426783,1.641410131,0,0,5.524857375,5.645263269,45.98788226
100,15,15,0.1,3,19.95258152,13.52105625,10.45312179,10.09500297,1630.0109,2.296875,0,0,3.198015155,3.29947858,7.14E-017,7.34E-033,0.4590179669,1.772299426,0,0,3.94706879,4.826657733,53.01512857
100,25,2,0.1,2,30.23436122,15.33006803,16.48683518,8.41738812,3138.921047,1.609375,0,0,1383.923197,33.35585179,7E-195,8.16E-043,1.44160088,2.865475913,0,0,1956.68736,63.84622767,63.33333333
100,25,15,0.1,2,30.23436122,10.28851128,16.48683518,7.913670858,2665.224001,2.03125,0,0,9.963229259,5.701139508,4.37E-070,0,1.41306072,3.436998812,0,0,13.64853354,7.965280204,46.60729393
100,25,40,0.1,2,30.23436122,14.62642374,16.48683518,10.837897,2103.655013,2.625,0,0,6.777542369,4.943560025,2.24E-083,9.09E-041,0.3856920941,1.901369764,0,0,8.556375375,7.985750287,77.02942468
100,25,15,0.1,2,30.23436122,16.44218039,16.48683518,11.54564237,1875.205394,2.09375,0,0,6.079133436,4.59329051,3.05E-091,0,0.5593472658,1.996013426,0,0,7.752880807,7.190567594,46.89678247
100,25,15,0.5,2,30.23436122,13.61957355,16.48683518,9.447420248,2004.984759,2.1875,0,0,3.256871507,3.570393817,2.39E-053,1.37E-043,0.7121396088,2.32669294,0,0,4.196867577,4.814094693,47.78516464
100,25,15,0.99,2,30.23436122,16.30566035,16.48683518,10.74590785,1527.112182,2.21875,0,0,2.098101803,2.699139993,2.31E-026,1.71E-031,0.465639709,2.076699098,0,0,2.79506291,3.321580889,47.04952613
100,25,15,0.1,1,30.23436122,17.39011796,16.48683518,14.33764803,1935.929423,2.203125,0,0,1268.500768,28.14621437,6.85E-103,0,1.243737987,2.277242098,0,0,1793.557482,54.01518663,42.10542923
100,25,15,0.1,2,30.23436122,17.11674578,16.48683518,11.69109069,1785.230522,2.234375,0,0,6.390652412,4.575534359,3.02E-176,0,0.13129667,1.622288563,0,0,8.013757934,7.528780155,46.85384905
100,25,15,0.1,3,30.23436122,13.96798433,16.48683518,9.414025651,2119.449207,2.34375,0,0,4.098658671,4.39318043,3.89E-036,0,0.3963759863,2.147427065,0,2.1E-044,4.83260546,6.638933795,50.03733409
100,50,2,0.1,2,41.62333729,14.52634937,22.31299644,7.811873697,2502.947152,1.78125,0,0,53.61106433,7.108550711,5.63E-229,0,2.588163703,4.172871203,0,0,75.65948333,10.04423022,60
100,50,15,0.1,2,41.62333729,16.46626597,22.31299644,11.93942542,2496.23317,2,0,0,18.21113996,6.688072712,0,0,0.4446354071,2.238359655,0,0,24.9698547,11.13778577,44.35341347
100,50,40,0.1,2,41.62333729,15.88418036,22.31299644,12.36087718,2594.745456,2.453125,0,0,10.07197566,7.10325912,3.85E-153,0,0.5876774083,3.186124658,0,0,13.10939121,11.02039358,72.57223484
100,50,15,0.1,2,41.62333729,13.82746081,22.31299644,9.765451637,2752.871009,2.1875,0,0,9.713747911,6.970355399,0.00000000000447,4.77E-039,0.7175108483,3.361245944,0,0,12.73372031,10.57946485,43.62878059
100,50,15,0.5,2,41.62333729,18.97473582,22.31299644,16.88395406,2281.840864,2.296875,0,0,5.79849759,5.397729404,1.47E-145,0,3.068400288,4.199161335,0,0,7.413294642,6.596297473,44.31622782
100,50,15,0.99,2,41.62333729,13.62907942,22.31299644,9.166850411,2511.088233,2.25,0,0,3.168486882,4.247776979,4.01E-039,6.13E-023,0.9738867225,3.662941255,0,0,4.294891995,4.832612702,45.06432103
